module,name,kind,signature,doc,file
timesfm,TimesFM_2p5_200M_torch.save_pretrained,method,"(self, save_directory: Union[str, pathlib.Path], *, config: Union[dict, huggingface_hub.hub_mixin.DataclassInstance, NoneType] = None, repo_id: Optional[str] = None, push_to_hub: bool = False, model_card_kwargs: Optional[Dict[str, Any]] = None, **push_to_hub_kwargs) -> Optional[str]","Save weights in local directory.

Args:
    save_directory (`str` or `Path`):
        Path to directory in which the model weights and configuration will be saved.
    config (`dict` or `DataclassInstance`, *optional*):
        Model configuration specified as a key/value dictionary or a dataclass instance.
    push_to_hub (`bool`, *optional*, defaults to `False`):
        Whether or not to push your model to the Huggingface Hub after saving it.
    repo_id (`str`, *optional*):
        ID of your repository on the Hub. Used only if `push_to_hub=True`. Will default to the folder name if
        not provided.
    model_card_kwargs (`Dict[str, Any]`, *optional*):
        Additional arguments passed to the model card template to customize the model card.
    push_to_hub_kwargs:
        Additio",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm.configs,Literal,callable,"(*args, **kwds)","Special typing form to define literal types (a.k.a. value types).

This form can be used to indicate to type checkers that the corresponding
variable or function parameter has a value equivalent to the provided
literal (or one of several literals)::

    def validate_simple(data: Any) -> Literal[True]:  # always returns True
        ...

    MODE = Literal['r', 'rb', 'w', 'wb']
    def open_helper(file: str, mode: MODE) -> str:
        ...

    open_helper('/some/path', 'r')  # Passes type check
    open_helper('/other/path', 'typo')  # Error in type checker

Literal[...] cannot be subclassed. At runtime, an arbitrary value
is allowed as type argument to Literal[...], but type checkers may
impose restrictions.",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.configs,ForecastConfig,class,"(max_context: int = 0, max_horizon: int = 0, normalize_inputs: bool = False, window_size: int = 0, per_core_batch_size: int = 1, use_continuous_quantile_head: bool = False, force_flip_invariance: bool = True, infer_is_positive: bool = True, fix_quantile_crossing: bool = False, return_backcast: bool = False) -> None","Options for forecasting.

Attributes:
  max_context: The maximum context length. This is used by the complied decode
    function at inference time during batched inference. Any input time series
    with length less than max_context will be padded with zeros, and with
    length greater than max_context will be truncated.
  max_horizon: The maximum horizon length. This is used by the complied decode
    function at inference time during batched inference. The compiled cached
    decoding function will by default forecast till max_horizon.
  normalize_inputs: Whether to normalize the inputs. This is useful when the
    raw inputs are of extremely large or small magnitudes which may result in
    numerical issues.
  window_size: The window size for decomposed forecasting.
    TODO(siriuz42)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.configs,RandomFourierFeaturesConfig,class,"(input_dims: int, output_dims: int, projection_stddev: float, use_bias: bool) -> None",Framework-agnostic config for random fourier features.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.configs,ResidualBlockConfig,class,"(input_dims: int, hidden_dims: int, output_dims: int, use_bias: bool, activation: Literal['relu', 'swish', 'none']) -> None",Framework-agnostic config for a residual block.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.configs,StackedTransformersConfig,class,"(num_layers: int, transformer: timesfm.configs.TransformerConfig) -> None",Framework-agnostic config for a stacked transformers.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.configs,TransformerConfig,class,"(model_dims: int, hidden_dims: int, num_heads: int, attention_norm: Literal['rms'], feedforward_norm: Literal['rms'], qk_norm: Literal['rms', 'none'], use_bias: bool, use_rotary_position_embeddings: bool, ff_activation: Literal['relu', 'swish', 'none'], fuse_qkv: bool) -> None",Framework-agnostic config for a transformer.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\configs.py
timesfm.torch.dense,RandomFourierFeatures,class,(config: timesfm.configs.RandomFourierFeaturesConfig),Random Fourier features layer.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,ResidualBlock,class,(config: timesfm.configs.ResidualBlockConfig),Residual block with two linear layers and a linear residual connection.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.add_module,method,"(self, name: str, module: Optional[ForwardRef('Module')]) -> None","Add a child module to the current module.

The module can be accessed as an attribute using the given name.

Args:
    name (str): name of the child module. The child module can be
        accessed from this module using the given name
    module (Module): child module to be added to the module.",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.apply,method,"(self, fn: collections.abc.Callable[['Module'], None]) -> Self","Apply ``fn`` recursively to every submodule (as returned by ``.children()``) as well as self.

Typical use includes initializing the parameters of a model
(see also :ref:`nn-init-doc`).

Args:
    fn (:class:`Module` -> None): function to be applied to each submodule

Returns:
    Module: self

Example::

    >>> @torch.no_grad()
    >>> def init_weights(m):
    >>>     print(m)
    >>>     if type(m) is nn.Linear:
    >>>         m.weight.fill_(1.0)
    >>>         print(m.weight)
    >>> net = nn.Sequential(nn.Linear(2, 2), nn.Linear(2, 2))
    >>> net.apply(init_weights)
    Linear(in_features=2, out_features=2, bias=True)
    Parameter containing:
    tensor([[1., 1.],
            [1., 1.]], requires_grad=True)
    Linear(in_features=2, out_features=2, bias=True)
    Parameter containi",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.bfloat16,method,(self) -> Self,"Casts all floating point parameters and buffers to ``bfloat16`` datatype.

.. note::
    This method modifies the module in-place.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.buffers,method,"(self, recurse: bool = True) -> collections.abc.Iterator[torch.Tensor]","Return an iterator over module buffers.

Args:
    recurse (bool): if True, then yields buffers of this module
        and all submodules. Otherwise, yields only buffers that
        are direct members of this module.

Yields:
    torch.Tensor: module buffer

Example::

    >>> # xdoctest: +SKIP(""undefined vars"")
    >>> for buf in model.buffers():
    >>>     print(type(buf), buf.size())
    <class 'torch.Tensor'> (20L,)
    <class 'torch.Tensor'> (20L, 1L, 5L, 5L)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.children,method,(self) -> collections.abc.Iterator['Module'],"Return an iterator over immediate children modules.

Yields:
    Module: a child module",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.compile,method,"(self, *args, **kwargs) -> None","Compile this Module's forward using :func:`torch.compile`.

This Module's `__call__` method is compiled and all arguments are passed as-is
to :func:`torch.compile`.

See :func:`torch.compile` for details on the arguments for this function.",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.cpu,method,(self) -> Self,"Move all model parameters and buffers to the CPU.

.. note::
    This method modifies the module in-place.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.cuda,method,"(self, device: int | torch.device | None = None) -> Self","Move all model parameters and buffers to the GPU.

This also makes associated parameters and buffers different objects. So
it should be called before constructing the optimizer if the module will
live on GPU while being optimized.

.. note::
    This method modifies the module in-place.

Args:
    device (int, optional): if specified, all parameters will be
        copied to that device

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.double,method,(self) -> Self,"Casts all floating point parameters and buffers to ``double`` datatype.

.. note::
    This method modifies the module in-place.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.eval,method,(self) -> Self,"Set the module in evaluation mode.

This has an effect only on certain modules. See the documentation of
particular modules for details of their behaviors in training/evaluation
mode, i.e. whether they are affected, e.g. :class:`Dropout`, :class:`BatchNorm`,
etc.

This is equivalent with :meth:`self.train(False) <torch.nn.Module.train>`.

See :ref:`locally-disable-grad-doc` for a comparison between
`.eval()` and several similar mechanisms that may be confused with it.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.extra_repr,method,(self) -> str,"Return the extra representation of the module.

To print customized extra information, you should re-implement
this method in your own modules. Both single-line and multi-line
strings are acceptable.",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.float,method,(self) -> Self,"Casts all floating point parameters and buffers to ``float`` datatype.

.. note::
    This method modifies the module in-place.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.forward,method,"(self, x: torch.Tensor) -> torch.Tensor","Define the computation performed at every call.

Should be overridden by all subclasses.

.. note::
    Although the recipe for forward pass needs to be defined within
    this function, one should call the :class:`Module` instance afterwards
    instead of this since the former takes care of running the
    registered hooks while the latter silently ignores them.",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.get_buffer,method,"(self, target: str) -> 'Tensor'","Return the buffer given by ``target`` if it exists, otherwise throw an error.

See the docstring for ``get_submodule`` for a more detailed
explanation of this method's functionality as well as how to
correctly specify ``target``.

Args:
    target: The fully-qualified string name of the buffer
        to look for. (See ``get_submodule`` for how to specify a
        fully-qualified string.)

Returns:
    torch.Tensor: The buffer referenced by ``target``

Raises:
    AttributeError: If the target string references an invalid
        path or resolves to something that is not a
        buffer",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.get_extra_state,method,(self) -> Any,"Return any extra state to include in the module's state_dict.

Implement this and a corresponding :func:`set_extra_state` for your module
if you need to store extra state. This function is called when building the
module's `state_dict()`.

Note that extra state should be picklable to ensure working serialization
of the state_dict. We only provide backwards compatibility guarantees
for serializing Tensors; other objects may break backwards compatibility if
their serialized pickled form changes.

Returns:
    object: Any extra state to store in the module's state_dict",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.get_parameter,method,"(self, target: str) -> 'Parameter'","Return the parameter given by ``target`` if it exists, otherwise throw an error.

See the docstring for ``get_submodule`` for a more detailed
explanation of this method's functionality as well as how to
correctly specify ``target``.

Args:
    target: The fully-qualified string name of the Parameter
        to look for. (See ``get_submodule`` for how to specify a
        fully-qualified string.)

Returns:
    torch.nn.Parameter: The Parameter referenced by ``target``

Raises:
    AttributeError: If the target string references an invalid
        path or resolves to something that is not an
        ``nn.Parameter``",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.get_submodule,method,"(self, target: str) -> 'Module'","Return the submodule given by ``target`` if it exists, otherwise throw an error.

For example, let's say you have an ``nn.Module`` ``A`` that
looks like this:

.. code-block:: text

    A(
        (net_b): Module(
            (net_c): Module(
                (conv): Conv2d(16, 33, kernel_size=(3, 3), stride=(2, 2))
            )
            (linear): Linear(in_features=100, out_features=200, bias=True)
        )
    )

(The diagram shows an ``nn.Module`` ``A``. ``A`` which has a nested
submodule ``net_b``, which itself has two submodules ``net_c``
and ``linear``. ``net_c`` then has a submodule ``conv``.)

To check whether or not we have the ``linear`` submodule, we
would call ``get_submodule(""net_b.linear"")``. To check whether
we have the ``conv`` submodule, we would call
``get_submodule(""",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.half,method,(self) -> Self,"Casts all floating point parameters and buffers to ``half`` datatype.

.. note::
    This method modifies the module in-place.

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.ipu,method,"(self, device: int | torch.device | None = None) -> Self","Move all model parameters and buffers to the IPU.

This also makes associated parameters and buffers different objects. So
it should be called before constructing the optimizer if the module will
live on IPU while being optimized.

.. note::
    This method modifies the module in-place.

Arguments:
    device (int, optional): if specified, all parameters will be
        copied to that device

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.load_state_dict,method,"(self, state_dict: collections.abc.Mapping[str, typing.Any], strict: bool = True, assign: bool = False)","Copy parameters and buffers from :attr:`state_dict` into this module and its descendants.

If :attr:`strict` is ``True``, then
the keys of :attr:`state_dict` must exactly match the keys returned
by this module's :meth:`~torch.nn.Module.state_dict` function.

.. warning::
    If :attr:`assign` is ``True`` the optimizer must be created after
    the call to :attr:`load_state_dict` unless
    :func:`~torch.__future__.get_swap_module_params_on_conversion` is ``True``.

Args:
    state_dict (dict): a dict containing parameters and
        persistent buffers.
    strict (bool, optional): whether to strictly enforce that the keys
        in :attr:`state_dict` match the keys returned by this module's
        :meth:`~torch.nn.Module.state_dict` function. Default: ``True``
    assign (bool, optional",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.modules,method,(self) -> collections.abc.Iterator['Module'],"Return an iterator over all modules in the network.

Yields:
    Module: a module in the network

Note:
    Duplicate modules are returned only once. In the following
    example, ``l`` will be returned only once.

Example::

    >>> l = nn.Linear(2, 2)
    >>> net = nn.Sequential(l, l)
    >>> for idx, m in enumerate(net.modules()):
    ...     print(idx, '->', m)

    0 -> Sequential(
      (0): Linear(in_features=2, out_features=2, bias=True)
      (1): Linear(in_features=2, out_features=2, bias=True)
    )
    1 -> Linear(in_features=2, out_features=2, bias=True)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.mtia,method,"(self, device: int | torch.device | None = None) -> Self","Move all model parameters and buffers to the MTIA.

This also makes associated parameters and buffers different objects. So
it should be called before constructing the optimizer if the module will
live on MTIA while being optimized.

.. note::
    This method modifies the module in-place.

Arguments:
    device (int, optional): if specified, all parameters will be
        copied to that device

Returns:
    Module: self",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.named_buffers,method,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.Tensor]]","Return an iterator over module buffers, yielding both the name of the buffer as well as the buffer itself.

Args:
    prefix (str): prefix to prepend to all buffer names.
    recurse (bool, optional): if True, then yields buffers of this module
        and all submodules. Otherwise, yields only buffers that
        are direct members of this module. Defaults to True.
    remove_duplicate (bool, optional): whether to remove the duplicated buffers in the result. Defaults to True.

Yields:
    (str, torch.Tensor): Tuple containing the name and buffer

Example::

    >>> # xdoctest: +SKIP(""undefined vars"")
    >>> for name, buf in self.named_buffers():
    >>>     if name in ['running_var']:
    >>>         print(buf.size())",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.named_children,method,"(self) -> collections.abc.Iterator[tuple[str, 'Module']]","Return an iterator over immediate children modules, yielding both the name of the module as well as the module itself.

Yields:
    (str, Module): Tuple containing a name and child module

Example::

    >>> # xdoctest: +SKIP(""undefined vars"")
    >>> for name, module in model.named_children():
    >>>     if name in ['conv4', 'conv5']:
    >>>         print(module)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.named_modules,method,"(self, memo: set['Module'] | None = None, prefix: str = '', remove_duplicate: bool = True)","Return an iterator over all modules in the network, yielding both the name of the module as well as the module itself.

Args:
    memo: a memo to store the set of modules already added to the result
    prefix: a prefix that will be added to the name of the module
    remove_duplicate: whether to remove the duplicated module instances in the result
        or not

Yields:
    (str, Module): Tuple of name and module

Note:
    Duplicate modules are returned only once. In the following
    example, ``l`` will be returned only once.

Example::

    >>> l = nn.Linear(2, 2)
    >>> net = nn.Sequential(l, l)
    >>> for idx, m in enumerate(net.named_modules()):
    ...     print(idx, '->', m)

    0 -> ('', Sequential(
      (0): Linear(in_features=2, out_features=2, bias=True)
      (1): Linear",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.named_parameters,method,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.nn.parameter.Parameter]]","Return an iterator over module parameters, yielding both the name of the parameter as well as the parameter itself.

Args:
    prefix (str): prefix to prepend to all parameter names.
    recurse (bool): if True, then yields parameters of this module
        and all submodules. Otherwise, yields only parameters that
        are direct members of this module.
    remove_duplicate (bool, optional): whether to remove the duplicated
        parameters in the result. Defaults to True.

Yields:
    (str, Parameter): Tuple containing the name and parameter

Example::

    >>> # xdoctest: +SKIP(""undefined vars"")
    >>> for name, param in self.named_parameters():
    >>>     if name in ['bias']:
    >>>         print(param.size())",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.parameters,method,"(self, recurse: bool = True) -> collections.abc.Iterator[torch.nn.parameter.Parameter]","Return an iterator over module parameters.

This is typically passed to an optimizer.

Args:
    recurse (bool): if True, then yields parameters of this module
        and all submodules. Otherwise, yields only parameters that
        are direct members of this module.

Yields:
    Parameter: module parameter

Example::

    >>> # xdoctest: +SKIP(""undefined vars"")
    >>> for param in model.parameters():
    >>>     print(type(param), param.size())
    <class 'torch.Tensor'> (20L,)
    <class 'torch.Tensor'> (20L, 1L, 5L, 5L)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.register_backward_hook,method,"(self, hook: collections.abc.Callable[['Module', typing.Union[tuple[torch.Tensor, ...], torch.Tensor], typing.Union[tuple[torch.Tensor, ...], torch.Tensor]], typing.Union[NoneType, tuple[torch.Tensor, ...], torch.Tensor]]) -> torch.utils.hooks.RemovableHandle","Register a backward hook on the module.

This function is deprecated in favor of :meth:`~torch.nn.Module.register_full_backward_hook` and
the behavior of this function will change in future versions.

Returns:
    :class:`torch.utils.hooks.RemovableHandle`:
        a handle that can be used to remove the added hook by calling
        ``handle.remove()``",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.register_buffer,method,"(self, name: str, tensor: torch.Tensor | None, persistent: bool = True) -> None","Add a buffer to the module.

This is typically used to register a buffer that should not be
considered a model parameter. For example, BatchNorm's ``running_mean``
is not a parameter, but is part of the module's state. Buffers, by
default, are persistent and will be saved alongside parameters. This
behavior can be changed by setting :attr:`persistent` to ``False``. The
only difference between a persistent buffer and a non-persistent buffer
is that the latter will not be a part of this module's
:attr:`state_dict`.

Buffers can be accessed as attributes using given names.

Args:
    name (str): name of the buffer. The buffer can be accessed
        from this module using the given name
    tensor (Tensor or None): buffer to be registered. If ``None``, then operations
        that run on buff",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
timesfm.torch.dense,RandomFourierFeatures.register_forward_hook,method,"(self, hook: collections.abc.Callable[[~T, tuple[typing.Any, ...], typing.Any], typing.Any | None] | collections.abc.Callable[[~T, tuple[typing.Any, ...], dict[str, typing.Any], typing.Any], typing.Any | None], *, prepend: bool = False, with_kwargs: bool = False, always_call: bool = False) -> torch.utils.hooks.RemovableHandle","Register a forward hook on the module.

The hook will be called every time after :func:`forward` has computed an output.

If ``with_kwargs`` is ``False`` or not specified, the input contains only
the positional arguments given to the module. Keyword arguments won't be
passed to the hooks and only to the ``forward``. The hook can modify the
output. It can modify the input inplace but it will not have effect on
forward since this is called after :func:`forward` is called. The hook
should have the following signature::

    hook(module, args, output) -> None or modified output

If ``with_kwargs`` is ``True``, the forward hook will be passed the
``kwargs`` given to the forward function and be expected to return the
output possibly modified. The hook should have the following signature::

    h",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\torch\dense.py
